run_id,created_at,run_root,best_model,best_mae,best_rmse,experiment_goal,decision_action,hypothesis_summary,suggest_new_idea,html_path,report_path,manifest_path
20260319_134508_smoke_ratio05,2026-03-19T05:45:15.174546+00:00,runs/20260319_134508_smoke_ratio05,text_baseline,0.18478477001190186,0.23866532742977142,,,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,,experiments/records/20260319_134508_smoke_ratio05.md,experiments/manifests/20260319_134508_smoke_ratio05.json
20260319_142904_process_doc_smoke,2026-03-19T06:29:11.377703+00:00,runs/20260319_142904_process_doc_smoke,text_baseline,0.1760059893131256,0.23142583668231964,检查单模型 tracked 实验是否能完整记录过程与决策。,继续，但先做诊断,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,,experiments/records/20260319_142904_process_doc_smoke.md,experiments/manifests/20260319_142904_process_doc_smoke.json
20260319_143055_process_doc_smoke_v2,2026-03-19T06:31:02.738632+00:00,runs/20260319_143055_process_doc_smoke_v2,text_baseline,0.17285220324993134,0.21889306604862213,确认过程文档中的耗时和异常计数准确。,继续，但先做诊断,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/20260319_143055_process_doc_smoke_v2.html,experiments/records/20260319_143055_process_doc_smoke_v2.md,experiments/manifests/20260319_143055_process_doc_smoke_v2.json
20260319_172516_ratio_sweep_ratio_30,2026-03-19T09:25:48.102934+00:00,runs/20260319_172516_ratio_sweep_ratio_30,affect_state_forecaster,0.11748461425304413,0.1697823405265808,验证四个模型在 observation ratio 30 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=部分支持; H4=证据不足,False,experiments/html/20260319_172516_ratio_sweep_ratio_30.html,experiments/records/20260319_172516_ratio_sweep_ratio_30.md,experiments/manifests/20260319_172516_ratio_sweep_ratio_30.json
20260319_172549_ratio_sweep_ratio_50,2026-03-19T09:26:21.323541+00:00,runs/20260319_172549_ratio_sweep_ratio_50,affect_state_forecaster,0.11735665053129196,0.17294029891490936,验证四个模型在 observation ratio 50 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172549_ratio_sweep_ratio_50.html,experiments/records/20260319_172549_ratio_sweep_ratio_50.md,experiments/manifests/20260319_172549_ratio_sweep_ratio_50.json
20260319_172622_ratio_sweep_ratio_70,2026-03-19T09:26:55.076348+00:00,runs/20260319_172622_ratio_sweep_ratio_70,affect_state_forecaster,0.14562983810901642,0.19177478551864624,验证四个模型在 observation ratio 70 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172622_ratio_sweep_ratio_70.html,experiments/records/20260319_172622_ratio_sweep_ratio_70.md,experiments/manifests/20260319_172622_ratio_sweep_ratio_70.json
20260319_172746_cross_event_charliehebdo,2026-03-19T09:28:19.159951+00:00,runs/20260319_172746_cross_event_charliehebdo,affect_state_forecaster,0.14312565326690674,0.19114930927753448,验证 held-out event=charliehebdo 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172746_cross_event_charliehebdo.html,experiments/records/20260319_172746_cross_event_charliehebdo.md,experiments/manifests/20260319_172746_cross_event_charliehebdo.json
20260319_172820_cross_event_ebola_essien,2026-03-19T09:28:53.062759+00:00,runs/20260319_172820_cross_event_ebola_essien,temporal_baseline,0.05972917005419731,0.0698486864566803,验证 held-out event=ebola-essien 时各模型的 cross-event 泛化能力。,继续主线,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172820_cross_event_ebola_essien.html,experiments/records/20260319_172820_cross_event_ebola_essien.md,experiments/manifests/20260319_172820_cross_event_ebola_essien.json
20260319_172854_cross_event_ferguson,2026-03-19T09:29:26.328275+00:00,runs/20260319_172854_cross_event_ferguson,temporal_baseline,0.11054041236639023,0.14183148741722107,验证 held-out event=ferguson 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172854_cross_event_ferguson.html,experiments/records/20260319_172854_cross_event_ferguson.md,experiments/manifests/20260319_172854_cross_event_ferguson.json
20260319_172927_cross_event_germanwings_crash,2026-03-19T09:29:59.939583+00:00,runs/20260319_172927_cross_event_germanwings_crash,structure_baseline,0.11534101516008377,0.2253800630569458,验证 held-out event=germanwings-crash 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172927_cross_event_germanwings_crash.html,experiments/records/20260319_172927_cross_event_germanwings_crash.md,experiments/manifests/20260319_172927_cross_event_germanwings_crash.json
20260319_173001_cross_event_ottawashooting,2026-03-19T09:30:33.253535+00:00,runs/20260319_173001_cross_event_ottawashooting,temporal_baseline,0.12836137413978577,0.17434574663639069,验证 held-out event=ottawashooting 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173001_cross_event_ottawashooting.html,experiments/records/20260319_173001_cross_event_ottawashooting.md,experiments/manifests/20260319_173001_cross_event_ottawashooting.json
20260319_173034_cross_event_prince_toronto,2026-03-19T09:31:07.285027+00:00,runs/20260319_173034_cross_event_prince_toronto,structure_baseline,0.08739369362592697,0.096623994410038,验证 held-out event=prince-toronto 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=不支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173034_cross_event_prince_toronto.html,experiments/records/20260319_173034_cross_event_prince_toronto.md,experiments/manifests/20260319_173034_cross_event_prince_toronto.json
20260319_173108_cross_event_putinmissing,2026-03-19T09:31:41.160344+00:00,runs/20260319_173108_cross_event_putinmissing,text_baseline,0.0964931771159172,0.12905849516391754,验证 held-out event=putinmissing 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=部分支持; H2=不支持; H3=不支持; H4=证据不足,True,experiments/html/20260319_173108_cross_event_putinmissing.html,experiments/records/20260319_173108_cross_event_putinmissing.md,experiments/manifests/20260319_173108_cross_event_putinmissing.json
20260319_173142_cross_event_sydneysiege,2026-03-19T09:32:14.805959+00:00,runs/20260319_173142_cross_event_sydneysiege,affect_state_forecaster,0.11327497661113739,0.18678252398967743,验证 held-out event=sydneysiege 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=部分支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173142_cross_event_sydneysiege.html,experiments/records/20260319_173142_cross_event_sydneysiege.md,experiments/manifests/20260319_173142_cross_event_sydneysiege.json
20260319_173215_seed_sweep_seed_13,2026-03-19T09:32:48.057409+00:00,runs/20260319_173215_seed_sweep_seed_13,structure_baseline,0.12022585421800613,0.1882687360048294,验证固定数据设置下 seed=13 时主实验结果是否稳定。,继续，但先做诊断,H1=支持; H2=不支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173215_seed_sweep_seed_13.html,experiments/records/20260319_173215_seed_sweep_seed_13.md,experiments/manifests/20260319_173215_seed_sweep_seed_13.json
20260319_173249_seed_sweep_seed_42,2026-03-19T09:33:21.155048+00:00,runs/20260319_173249_seed_sweep_seed_42,affect_state_forecaster,0.11735665053129196,0.17294029891490936,验证固定数据设置下 seed=42 时主实验结果是否稳定。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173249_seed_sweep_seed_42.html,experiments/records/20260319_173249_seed_sweep_seed_42.md,experiments/manifests/20260319_173249_seed_sweep_seed_42.json
20260319_173322_seed_sweep_seed_77,2026-03-19T09:33:54.318301+00:00,runs/20260319_173322_seed_sweep_seed_77,structure_baseline,0.11176416277885437,0.18310125172138214,验证固定数据设置下 seed=77 时主实验结果是否稳定。,继续，但先做诊断,H1=部分支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173322_seed_sweep_seed_77.html,experiments/records/20260319_173322_seed_sweep_seed_77.md,experiments/manifests/20260319_173322_seed_sweep_seed_77.json
20260319_174329_labeler_lexicon_v1_ratio_05,2026-03-19T09:44:01.384148+00:00,runs/20260319_174329_labeler_lexicon_v1_ratio_05,affect_state_forecaster,0.11735665053129196,0.17294029891490936,比较 weak labeler=lexicon_v1 时主实验结果是否稳定。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_174329_labeler_lexicon_v1_ratio_05.html,experiments/records/20260319_174329_labeler_lexicon_v1_ratio_05.md,experiments/manifests/20260319_174329_labeler_lexicon_v1_ratio_05.json
20260319_174402_labeler_lexicon_conservative_ratio_05,2026-03-19T09:44:34.851477+00:00,runs/20260319_174402_labeler_lexicon_conservative_ratio_05,affect_state_forecaster,0.0386434830725193,0.04187716916203499,比较 weak labeler=lexicon_conservative 时主实验结果是否稳定。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_174402_labeler_lexicon_conservative_ratio_05.html,experiments/records/20260319_174402_labeler_lexicon_conservative_ratio_05.md,experiments/manifests/20260319_174402_labeler_lexicon_conservative_ratio_05.json
import_20260319_134508_smoke_ratio05,2026-03-19T09:44:35.908285+00:00,runs/20260319_134508_smoke_ratio05,text_baseline,0.18478477001190186,0.23866532742977142,回填历史实验 `20260319_134508_smoke_ratio05`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260319_134508_smoke_ratio05.html,experiments/records/import_20260319_134508_smoke_ratio05.md,experiments/manifests/import_20260319_134508_smoke_ratio05.json
import_20260319_142904_process_doc_smoke,2026-03-19T09:44:36.408628+00:00,runs/20260319_142904_process_doc_smoke,text_baseline,0.1760059893131256,0.23142583668231964,回填历史实验 `20260319_142904_process_doc_smoke`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260319_142904_process_doc_smoke.html,experiments/records/import_20260319_142904_process_doc_smoke.md,experiments/manifests/import_20260319_142904_process_doc_smoke.json
import_20260319_143055_process_doc_smoke_v2,2026-03-19T09:44:36.878567+00:00,runs/20260319_143055_process_doc_smoke_v2,text_baseline,0.17285220324993134,0.21889306604862213,回填历史实验 `20260319_143055_process_doc_smoke_v2`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260319_143055_process_doc_smoke_v2.html,experiments/records/import_20260319_143055_process_doc_smoke_v2.md,experiments/manifests/import_20260319_143055_process_doc_smoke_v2.json
import_20260319_171433_ratio_sweep_ratio_30,2026-03-19T09:44:37.351566+00:00,runs/20260319_171433_ratio_sweep_ratio_30,,,,回填历史实验 `20260319_171433_ratio_sweep_ratio_30`，确认其对当前研究主线的支持程度。,暂停方法扩展，先修复工程问题,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260319_171433_ratio_sweep_ratio_30.html,experiments/records/import_20260319_171433_ratio_sweep_ratio_30.md,experiments/manifests/import_20260319_171433_ratio_sweep_ratio_30.json
import_20260319_172516_ratio_sweep_ratio_30,2026-03-19T09:44:37.587665+00:00,runs/20260319_172516_ratio_sweep_ratio_30,affect_state_forecaster,0.11748461425304413,0.1697823405265808,回填历史实验 `20260319_172516_ratio_sweep_ratio_30`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=部分支持; H4=证据不足,False,experiments/html/import_20260319_172516_ratio_sweep_ratio_30.html,experiments/records/import_20260319_172516_ratio_sweep_ratio_30.md,experiments/manifests/import_20260319_172516_ratio_sweep_ratio_30.json
import_20260319_172549_ratio_sweep_ratio_50,2026-03-19T09:44:38.171183+00:00,runs/20260319_172549_ratio_sweep_ratio_50,affect_state_forecaster,0.11735665053129196,0.17294029891490936,回填历史实验 `20260319_172549_ratio_sweep_ratio_50`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_172549_ratio_sweep_ratio_50.html,experiments/records/import_20260319_172549_ratio_sweep_ratio_50.md,experiments/manifests/import_20260319_172549_ratio_sweep_ratio_50.json
import_20260319_172622_ratio_sweep_ratio_70,2026-03-19T09:44:38.723092+00:00,runs/20260319_172622_ratio_sweep_ratio_70,affect_state_forecaster,0.14562983810901642,0.19177478551864624,回填历史实验 `20260319_172622_ratio_sweep_ratio_70`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_172622_ratio_sweep_ratio_70.html,experiments/records/import_20260319_172622_ratio_sweep_ratio_70.md,experiments/manifests/import_20260319_172622_ratio_sweep_ratio_70.json
import_20260319_172746_cross_event_charliehebdo,2026-03-19T09:44:39.286854+00:00,runs/20260319_172746_cross_event_charliehebdo,affect_state_forecaster,0.14312565326690674,0.19114930927753448,回填历史实验 `20260319_172746_cross_event_charliehebdo`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_172746_cross_event_charliehebdo.html,experiments/records/import_20260319_172746_cross_event_charliehebdo.md,experiments/manifests/import_20260319_172746_cross_event_charliehebdo.json
import_20260319_172820_cross_event_ebola_essien,2026-03-19T09:44:39.857495+00:00,runs/20260319_172820_cross_event_ebola_essien,temporal_baseline,0.05972917005419731,0.0698486864566803,回填历史实验 `20260319_172820_cross_event_ebola_essien`，确认其对当前研究主线的支持程度。,继续主线,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_172820_cross_event_ebola_essien.html,experiments/records/import_20260319_172820_cross_event_ebola_essien.md,experiments/manifests/import_20260319_172820_cross_event_ebola_essien.json
import_20260319_172854_cross_event_ferguson,2026-03-19T09:44:40.397277+00:00,runs/20260319_172854_cross_event_ferguson,temporal_baseline,0.11054041236639023,0.14183148741722107,回填历史实验 `20260319_172854_cross_event_ferguson`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_172854_cross_event_ferguson.html,experiments/records/import_20260319_172854_cross_event_ferguson.md,experiments/manifests/import_20260319_172854_cross_event_ferguson.json
import_20260319_172927_cross_event_germanwings_crash,2026-03-19T09:44:40.950295+00:00,runs/20260319_172927_cross_event_germanwings_crash,structure_baseline,0.11534101516008377,0.2253800630569458,回填历史实验 `20260319_172927_cross_event_germanwings_crash`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_172927_cross_event_germanwings_crash.html,experiments/records/import_20260319_172927_cross_event_germanwings_crash.md,experiments/manifests/import_20260319_172927_cross_event_germanwings_crash.json
import_20260319_173001_cross_event_ottawashooting,2026-03-19T09:44:41.494206+00:00,runs/20260319_173001_cross_event_ottawashooting,temporal_baseline,0.12836137413978577,0.17434574663639069,回填历史实验 `20260319_173001_cross_event_ottawashooting`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_173001_cross_event_ottawashooting.html,experiments/records/import_20260319_173001_cross_event_ottawashooting.md,experiments/manifests/import_20260319_173001_cross_event_ottawashooting.json
import_20260319_173034_cross_event_prince_toronto,2026-03-19T09:44:42.033773+00:00,runs/20260319_173034_cross_event_prince_toronto,structure_baseline,0.08739369362592697,0.096623994410038,回填历史实验 `20260319_173034_cross_event_prince_toronto`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=不支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_173034_cross_event_prince_toronto.html,experiments/records/import_20260319_173034_cross_event_prince_toronto.md,experiments/manifests/import_20260319_173034_cross_event_prince_toronto.json
import_20260319_173108_cross_event_putinmissing,2026-03-19T09:44:42.592589+00:00,runs/20260319_173108_cross_event_putinmissing,text_baseline,0.0964931771159172,0.12905849516391754,回填历史实验 `20260319_173108_cross_event_putinmissing`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=不支持; H3=不支持; H4=证据不足,True,experiments/html/import_20260319_173108_cross_event_putinmissing.html,experiments/records/import_20260319_173108_cross_event_putinmissing.md,experiments/manifests/import_20260319_173108_cross_event_putinmissing.json
import_20260319_173142_cross_event_sydneysiege,2026-03-19T09:44:43.136020+00:00,runs/20260319_173142_cross_event_sydneysiege,affect_state_forecaster,0.11327497661113739,0.18678252398967743,回填历史实验 `20260319_173142_cross_event_sydneysiege`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_173142_cross_event_sydneysiege.html,experiments/records/import_20260319_173142_cross_event_sydneysiege.md,experiments/manifests/import_20260319_173142_cross_event_sydneysiege.json
import_20260319_173215_seed_sweep_seed_13,2026-03-19T09:44:43.714093+00:00,runs/20260319_173215_seed_sweep_seed_13,structure_baseline,0.12022585421800613,0.1882687360048294,回填历史实验 `20260319_173215_seed_sweep_seed_13`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=不支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_173215_seed_sweep_seed_13.html,experiments/records/import_20260319_173215_seed_sweep_seed_13.md,experiments/manifests/import_20260319_173215_seed_sweep_seed_13.json
import_20260319_173249_seed_sweep_seed_42,2026-03-19T09:44:44.277835+00:00,runs/20260319_173249_seed_sweep_seed_42,affect_state_forecaster,0.11735665053129196,0.17294029891490936,回填历史实验 `20260319_173249_seed_sweep_seed_42`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_173249_seed_sweep_seed_42.html,experiments/records/import_20260319_173249_seed_sweep_seed_42.md,experiments/manifests/import_20260319_173249_seed_sweep_seed_42.json
import_20260319_173322_seed_sweep_seed_77,2026-03-19T09:44:44.831613+00:00,runs/20260319_173322_seed_sweep_seed_77,structure_baseline,0.11176416277885437,0.18310125172138214,回填历史实验 `20260319_173322_seed_sweep_seed_77`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_173322_seed_sweep_seed_77.html,experiments/records/import_20260319_173322_seed_sweep_seed_77.md,experiments/manifests/import_20260319_173322_seed_sweep_seed_77.json
