run_id,created_at,run_root,best_model,best_mae,best_rmse,experiment_goal,decision_action,hypothesis_summary,suggest_new_idea,html_path,report_path,manifest_path
import_20260319_173355_labeler_lexicon_v1_ratio_50,2026-03-19T09:44:45.410666+00:00,runs/20260319_173355_labeler_lexicon_v1_ratio_50,,,,回填历史实验 `20260319_173355_labeler_lexicon_v1_ratio_50`，确认其对当前研究主线的支持程度。,暂停方法扩展，先修复工程问题,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260319_173355_labeler_lexicon_v1_ratio_50.html,experiments/records/import_20260319_173355_labeler_lexicon_v1_ratio_50.md,experiments/manifests/import_20260319_173355_labeler_lexicon_v1_ratio_50.json
import_20260319_174149_labeler_lexicon_v1_ratio_50,2026-03-19T09:44:45.647677+00:00,runs/20260319_174149_labeler_lexicon_v1_ratio_50,,,,回填历史实验 `20260319_174149_labeler_lexicon_v1_ratio_50`，确认其对当前研究主线的支持程度。,暂停方法扩展，先修复工程问题,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260319_174149_labeler_lexicon_v1_ratio_50.html,experiments/records/import_20260319_174149_labeler_lexicon_v1_ratio_50.md,experiments/manifests/import_20260319_174149_labeler_lexicon_v1_ratio_50.json
import_20260319_174329_labeler_lexicon_v1_ratio_05,2026-03-19T09:44:45.884811+00:00,runs/20260319_174329_labeler_lexicon_v1_ratio_05,affect_state_forecaster,0.11735665053129196,0.17294029891490936,回填历史实验 `20260319_174329_labeler_lexicon_v1_ratio_05`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_174329_labeler_lexicon_v1_ratio_05.html,experiments/records/import_20260319_174329_labeler_lexicon_v1_ratio_05.md,experiments/manifests/import_20260319_174329_labeler_lexicon_v1_ratio_05.json
import_20260319_174402_labeler_lexicon_conservative_ratio_05,2026-03-19T09:44:46.439773+00:00,runs/20260319_174402_labeler_lexicon_conservative_ratio_05,affect_state_forecaster,0.0386434830725193,0.04187716916203499,回填历史实验 `20260319_174402_labeler_lexicon_conservative_ratio_05`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260319_174402_labeler_lexicon_conservative_ratio_05.html,experiments/records/import_20260319_174402_labeler_lexicon_conservative_ratio_05.md,experiments/manifests/import_20260319_174402_labeler_lexicon_conservative_ratio_05.json
import_ablations,2026-03-19T09:44:46.998584+00:00,runs/ablations,asf_no_affect_state,0.10793595016002655,0.17799146473407745,回填历史实验 `ablations`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_ablations.html,experiments/records/import_ablations.md,experiments/manifests/import_ablations.json
import_first_round_ratio_05,2026-03-19T09:44:47.658368+00:00,runs/first_round_ratio_05,structure_baseline,0.11702784150838852,0.18761485815048218,回填历史实验 `first_round_ratio_05`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_first_round_ratio_05.html,experiments/records/import_first_round_ratio_05.md,experiments/manifests/import_first_round_ratio_05.json
20260323_091019_topconf_baselines,2026-03-23T01:10:44.429737+00:00,runs/20260323_091019_topconf_baselines,timesnet_baseline,0.10797085613012314,0.18161989748477936,顶会可适配baseline在PHEME forecasting设定下是否优于现有自研基础线。,继续，但先做诊断,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/20260323_091019_topconf_baselines.html,experiments/records/20260323_091019_topconf_baselines.md,experiments/manifests/20260323_091019_topconf_baselines.json
20260323_091059_main_plus_topconf,2026-03-23T01:12:02.031195+00:00,runs/20260323_091059_main_plus_topconf,affect_state_forecaster,0.10519883036613464,0.1745268702507019,统一训练设置下，现有方法与顶会可适配baseline的相对排序如何。,继续，但先做诊断,H1=部分支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091059_main_plus_topconf.html,experiments/records/20260323_091059_main_plus_topconf.md,experiments/manifests/20260323_091059_main_plus_topconf.json
20260323_091235_ratio_sweep_ratio_30,2026-03-23T01:13:26.390255+00:00,runs/20260323_091235_ratio_sweep_ratio_30,thread_transformer_baseline,0.08146608620882034,0.17063957452774048,验证四个模型在 observation ratio 30 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=部分支持; H4=证据不足,False,experiments/html/20260323_091235_ratio_sweep_ratio_30.html,experiments/records/20260323_091235_ratio_sweep_ratio_30.md,experiments/manifests/20260323_091235_ratio_sweep_ratio_30.json
20260323_091327_ratio_sweep_ratio_70,2026-03-23T01:14:24.128703+00:00,runs/20260323_091327_ratio_sweep_ratio_70,thread_transformer_baseline,0.12967438995838165,0.19298537075519562,验证四个模型在 observation ratio 70 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091327_ratio_sweep_ratio_70.html,experiments/records/20260323_091327_ratio_sweep_ratio_70.md,experiments/manifests/20260323_091327_ratio_sweep_ratio_70.json
20260323_091509_cross_event_charliehebdo,2026-03-23T01:16:04.496806+00:00,runs/20260323_091509_cross_event_charliehebdo,affect_state_forecaster,0.13929902017116547,0.1915578693151474,验证 held-out event=charliehebdo 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091509_cross_event_charliehebdo.html,experiments/records/20260323_091509_cross_event_charliehebdo.md,experiments/manifests/20260323_091509_cross_event_charliehebdo.json
20260323_091605_cross_event_ebola_essien,2026-03-23T01:17:02.661779+00:00,runs/20260323_091605_cross_event_ebola_essien,temporal_baseline,0.05972917005419731,0.06984865665435791,验证 held-out event=ebola-essien 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091605_cross_event_ebola_essien.html,experiments/records/20260323_091605_cross_event_ebola_essien.md,experiments/manifests/20260323_091605_cross_event_ebola_essien.json
20260323_091703_cross_event_ferguson,2026-03-23T01:17:58.401632+00:00,runs/20260323_091703_cross_event_ferguson,thread_transformer_baseline,0.10716671496629715,0.1362522393465042,验证 held-out event=ferguson 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091703_cross_event_ferguson.html,experiments/records/20260323_091703_cross_event_ferguson.md,experiments/manifests/20260323_091703_cross_event_ferguson.json
20260323_091759_cross_event_germanwings_crash,2026-03-23T01:18:55.823337+00:00,runs/20260323_091759_cross_event_germanwings_crash,structure_baseline,0.11534103751182556,0.225380077958107,验证 held-out event=germanwings-crash 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091759_cross_event_germanwings_crash.html,experiments/records/20260323_091759_cross_event_germanwings_crash.md,experiments/manifests/20260323_091759_cross_event_germanwings_crash.json
20260323_091856_cross_event_ottawashooting,2026-03-23T01:19:51.975745+00:00,runs/20260323_091856_cross_event_ottawashooting,thread_transformer_baseline,0.10495883226394653,0.16217723488807678,验证 held-out event=ottawashooting 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091856_cross_event_ottawashooting.html,experiments/records/20260323_091856_cross_event_ottawashooting.md,experiments/manifests/20260323_091856_cross_event_ottawashooting.json
20260323_091953_cross_event_prince_toronto,2026-03-23T01:20:50.145325+00:00,runs/20260323_091953_cross_event_prince_toronto,patchtst_baseline,0.08612509816884995,0.09095459431409836,验证 held-out event=prince-toronto 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=部分支持; H2=不支持; H3=支持; H4=证据不足,False,experiments/html/20260323_091953_cross_event_prince_toronto.html,experiments/records/20260323_091953_cross_event_prince_toronto.md,experiments/manifests/20260323_091953_cross_event_prince_toronto.json
20260323_092051_cross_event_putinmissing,2026-03-23T01:21:48.277643+00:00,runs/20260323_092051_cross_event_putinmissing,thread_transformer_baseline,0.06605269014835358,0.10800120234489441,验证 held-out event=putinmissing 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=不支持; H3=不支持; H4=证据不足,True,experiments/html/20260323_092051_cross_event_putinmissing.html,experiments/records/20260323_092051_cross_event_putinmissing.md,experiments/manifests/20260323_092051_cross_event_putinmissing.json
20260323_092149_cross_event_sydneysiege,2026-03-23T01:22:44.473736+00:00,runs/20260323_092149_cross_event_sydneysiege,patchtst_baseline,0.09941782802343369,0.19305868446826935,验证 held-out event=sydneysiege 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260323_092149_cross_event_sydneysiege.html,experiments/records/20260323_092149_cross_event_sydneysiege.md,experiments/manifests/20260323_092149_cross_event_sydneysiege.json
20260323_092441_seed_sweep_seed_13,2026-03-23T01:25:34.949183+00:00,runs/20260323_092441_seed_sweep_seed_13,affect_state_forecaster,0.09187312424182892,0.17784011363983154,验证固定数据设置下 seed=13 时主实验结果是否稳定。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_092441_seed_sweep_seed_13.html,experiments/records/20260323_092441_seed_sweep_seed_13.md,experiments/manifests/20260323_092441_seed_sweep_seed_13.json
20260323_092536_seed_sweep_seed_42,2026-03-23T01:26:29.721699+00:00,runs/20260323_092536_seed_sweep_seed_42,affect_state_forecaster,0.10519883036613464,0.1745268702507019,验证固定数据设置下 seed=42 时主实验结果是否稳定。,继续，但先做诊断,H1=部分支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_092536_seed_sweep_seed_42.html,experiments/records/20260323_092536_seed_sweep_seed_42.md,experiments/manifests/20260323_092536_seed_sweep_seed_42.json
20260323_092630_seed_sweep_seed_77,2026-03-23T01:27:24.606640+00:00,runs/20260323_092630_seed_sweep_seed_77,affect_state_forecaster,0.10047584772109985,0.17200477421283722,验证固定数据设置下 seed=77 时主实验结果是否稳定。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260323_092630_seed_sweep_seed_77.html,experiments/records/20260323_092630_seed_sweep_seed_77.md,experiments/manifests/20260323_092630_seed_sweep_seed_77.json
import_20260323_090525_topconf_baselines,2026-03-23T01:27:58.215901+00:00,runs/20260323_090525_topconf_baselines,,,,回填历史实验 `20260323_090525_topconf_baselines`，确认其对当前研究主线的支持程度。,暂停方法扩展，先修复工程问题,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260323_090525_topconf_baselines.html,experiments/records/import_20260323_090525_topconf_baselines.md,experiments/manifests/import_20260323_090525_topconf_baselines.json
import_20260323_091002_topconf_baselines,2026-03-23T01:27:58.477726+00:00,runs/20260323_091002_topconf_baselines,,,,回填历史实验 `20260323_091002_topconf_baselines`，确认其对当前研究主线的支持程度。,暂停方法扩展，先修复工程问题,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260323_091002_topconf_baselines.html,experiments/records/import_20260323_091002_topconf_baselines.md,experiments/manifests/import_20260323_091002_topconf_baselines.json
import_20260323_091019_topconf_baselines,2026-03-23T01:27:58.722938+00:00,runs/20260323_091019_topconf_baselines,timesnet_baseline,0.10797085613012314,0.18161989748477936,回填历史实验 `20260323_091019_topconf_baselines`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=证据不足; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/import_20260323_091019_topconf_baselines.html,experiments/records/import_20260323_091019_topconf_baselines.md,experiments/manifests/import_20260323_091019_topconf_baselines.json
import_20260323_091059_main_plus_topconf,2026-03-23T01:27:59.268326+00:00,runs/20260323_091059_main_plus_topconf,affect_state_forecaster,0.10519883036613464,0.1745268702507019,回填历史实验 `20260323_091059_main_plus_topconf`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091059_main_plus_topconf.html,experiments/records/import_20260323_091059_main_plus_topconf.md,experiments/manifests/import_20260323_091059_main_plus_topconf.json
import_20260323_091235_ratio_sweep_ratio_30,2026-03-23T01:27:59.926827+00:00,runs/20260323_091235_ratio_sweep_ratio_30,thread_transformer_baseline,0.08146608620882034,0.17063957452774048,回填历史实验 `20260323_091235_ratio_sweep_ratio_30`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=部分支持; H4=证据不足,False,experiments/html/import_20260323_091235_ratio_sweep_ratio_30.html,experiments/records/import_20260323_091235_ratio_sweep_ratio_30.md,experiments/manifests/import_20260323_091235_ratio_sweep_ratio_30.json
import_20260323_091327_ratio_sweep_ratio_70,2026-03-23T01:28:00.565500+00:00,runs/20260323_091327_ratio_sweep_ratio_70,thread_transformer_baseline,0.12967438995838165,0.19298537075519562,回填历史实验 `20260323_091327_ratio_sweep_ratio_70`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091327_ratio_sweep_ratio_70.html,experiments/records/import_20260323_091327_ratio_sweep_ratio_70.md,experiments/manifests/import_20260323_091327_ratio_sweep_ratio_70.json
import_20260323_091509_cross_event_charliehebdo,2026-03-23T01:28:01.222173+00:00,runs/20260323_091509_cross_event_charliehebdo,affect_state_forecaster,0.13929902017116547,0.1915578693151474,回填历史实验 `20260323_091509_cross_event_charliehebdo`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091509_cross_event_charliehebdo.html,experiments/records/import_20260323_091509_cross_event_charliehebdo.md,experiments/manifests/import_20260323_091509_cross_event_charliehebdo.json
import_20260323_091605_cross_event_ebola_essien,2026-03-23T01:28:01.846561+00:00,runs/20260323_091605_cross_event_ebola_essien,temporal_baseline,0.05972917005419731,0.06984865665435791,回填历史实验 `20260323_091605_cross_event_ebola_essien`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091605_cross_event_ebola_essien.html,experiments/records/import_20260323_091605_cross_event_ebola_essien.md,experiments/manifests/import_20260323_091605_cross_event_ebola_essien.json
import_20260323_091703_cross_event_ferguson,2026-03-23T01:28:02.452506+00:00,runs/20260323_091703_cross_event_ferguson,thread_transformer_baseline,0.10716671496629715,0.1362522393465042,回填历史实验 `20260323_091703_cross_event_ferguson`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091703_cross_event_ferguson.html,experiments/records/import_20260323_091703_cross_event_ferguson.md,experiments/manifests/import_20260323_091703_cross_event_ferguson.json
import_20260323_091759_cross_event_germanwings_crash,2026-03-23T01:28:03.070587+00:00,runs/20260323_091759_cross_event_germanwings_crash,structure_baseline,0.11534103751182556,0.225380077958107,回填历史实验 `20260323_091759_cross_event_germanwings_crash`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091759_cross_event_germanwings_crash.html,experiments/records/import_20260323_091759_cross_event_germanwings_crash.md,experiments/manifests/import_20260323_091759_cross_event_germanwings_crash.json
import_20260323_091856_cross_event_ottawashooting,2026-03-23T01:28:03.679324+00:00,runs/20260323_091856_cross_event_ottawashooting,thread_transformer_baseline,0.10495883226394653,0.16217723488807678,回填历史实验 `20260323_091856_cross_event_ottawashooting`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091856_cross_event_ottawashooting.html,experiments/records/import_20260323_091856_cross_event_ottawashooting.md,experiments/manifests/import_20260323_091856_cross_event_ottawashooting.json
import_20260323_091953_cross_event_prince_toronto,2026-03-23T01:28:04.292676+00:00,runs/20260323_091953_cross_event_prince_toronto,patchtst_baseline,0.08612509816884995,0.09095459431409836,回填历史实验 `20260323_091953_cross_event_prince_toronto`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=不支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_091953_cross_event_prince_toronto.html,experiments/records/import_20260323_091953_cross_event_prince_toronto.md,experiments/manifests/import_20260323_091953_cross_event_prince_toronto.json
import_20260323_092051_cross_event_putinmissing,2026-03-23T01:28:04.911198+00:00,runs/20260323_092051_cross_event_putinmissing,thread_transformer_baseline,0.06605269014835358,0.10800120234489441,回填历史实验 `20260323_092051_cross_event_putinmissing`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=不支持; H3=不支持; H4=证据不足,True,experiments/html/import_20260323_092051_cross_event_putinmissing.html,experiments/records/import_20260323_092051_cross_event_putinmissing.md,experiments/manifests/import_20260323_092051_cross_event_putinmissing.json
import_20260323_092149_cross_event_sydneysiege,2026-03-23T01:28:05.545210+00:00,runs/20260323_092149_cross_event_sydneysiege,patchtst_baseline,0.09941782802343369,0.19305868446826935,回填历史实验 `20260323_092149_cross_event_sydneysiege`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_092149_cross_event_sydneysiege.html,experiments/records/import_20260323_092149_cross_event_sydneysiege.md,experiments/manifests/import_20260323_092149_cross_event_sydneysiege.json
import_20260323_092441_seed_sweep_seed_13,2026-03-23T01:28:06.154446+00:00,runs/20260323_092441_seed_sweep_seed_13,affect_state_forecaster,0.09187312424182892,0.17784011363983154,回填历史实验 `20260323_092441_seed_sweep_seed_13`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_092441_seed_sweep_seed_13.html,experiments/records/import_20260323_092441_seed_sweep_seed_13.md,experiments/manifests/import_20260323_092441_seed_sweep_seed_13.json
import_20260323_092536_seed_sweep_seed_42,2026-03-23T01:28:06.787978+00:00,runs/20260323_092536_seed_sweep_seed_42,affect_state_forecaster,0.10519883036613464,0.1745268702507019,回填历史实验 `20260323_092536_seed_sweep_seed_42`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=部分支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_092536_seed_sweep_seed_42.html,experiments/records/import_20260323_092536_seed_sweep_seed_42.md,experiments/manifests/import_20260323_092536_seed_sweep_seed_42.json
import_20260323_092630_seed_sweep_seed_77,2026-03-23T01:28:07.418620+00:00,runs/20260323_092630_seed_sweep_seed_77,affect_state_forecaster,0.10047584772109985,0.17200477421283722,回填历史实验 `20260323_092630_seed_sweep_seed_77`，确认其对当前研究主线的支持程度。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/import_20260323_092630_seed_sweep_seed_77.html,experiments/records/import_20260323_092630_seed_sweep_seed_77.md,experiments/manifests/import_20260323_092630_seed_sweep_seed_77.json
